ID,Type,Description,Owner,Impact,Likelihood,Status,DateRaised,Mitigation / Action
RAID-043,Risk,disaster recovery failover test may slip past the committed date without an earlier decision point,A. Mehta,High,Low,Open,2025-10-03 00:00:00,Added buffer to the schedule and flagged to steering committee
RAID-044,Issue,Data quality problems surfaced during translation and localization,R. Fernandes,Medium,High,Closed,2025-09-15 00:00:00,Fix scheduled for next release; workaround in place
RAID-045,Issue,cross-border data residency is currently blocked pending vendor response,L. Duarte,Medium,High,Open,2025-08-15 00:00:00,Fix scheduled for next release; workaround in place
RAID-046,Issue,peak-season load testing is currently blocked pending vendor response,J. Ncube,Medium,Low,Closed,2025-07-07 00:00:00,Fix scheduled for next release; workaround in place
RAID-047,Risk,Possible delay to core banking cutover window due to resourcing constraints,P. Osei,Medium,High,Open,2025-10-02 00:00:00,Escalated to sponsor for an early go/no-go decision
RAID-048,Risk,Insufficient testing window identified for translation and localization,M. Choudhury,Low,Low,Open,2025-07-05 00:00:00,Added buffer to the schedule and flagged to steering committee
RAID-049,Assumption,Plan assumes no additional approvals are needed for cross-border data residency,T. Alvarez,Medium,Low,Closed,2025-10-21 00:00:00,Validated with vendor in writing
RAID-050,Dependency,budget approval for Phase 2 depends on a sign-off from a separate workstream,K. Padilla,Low,High,Open,2025-09-30 00:00:00,Contract finance team engaged to expedite
RAID-051,Risk,cross-border data residency may slip past the committed date without an earlier decision point,P. Osei,Medium,Medium,Open,2025-09-11 00:00:00,Contingency budget reserved; reviewing weekly
RAID-052,Risk,Budget overrun risk on cross-border data residency if scope is not controlled,P. Osei,High,Medium,Closed,2025-01-21 00:00:00,Escalated to sponsor for an early go/no-go decision
RAID-053,Risk,Budget overrun risk on regulatory reporting deadline if scope is not controlled,J. Ncube,Low,Low,Closed,2025-03-23 00:00:00,Escalated to sponsor for an early go/no-go decision
RAID-054,Risk,Insufficient testing window identified for budget approval for Phase 2,N. Kowalski,Low,Medium,Open,2025-09-06 00:00:00,Contingency budget reserved; reviewing weekly
RAID-055,Issue,mobile app store approval is currently blocked pending vendor response,A. Mehta,Medium,Low,Open,2025-09-13 00:00:00,Fix scheduled for next release; workaround in place
